,call_sign,ID,coef,d/n,max_speed,max_dir,avg_speed,avg_dir,month
27125,14737KABE,ABE2001122311501650,0.064,D,193.0,6.0,199.0,6.0,12
27126,14737KABE,ABE2001122311511651,0.064,D,185.0,5.0,160.0,6.0,12
27127,14737KABE,ABE2001122311521652,0.066,D,172.0,5.0,172.0,8.0,12
27131,14737KABE,ABE2001122311561656,0.069,D,173.0,8.0,169.0,7.0,12
27132,14737KABE,ABE2001122311571657,0.063,D,174.0,7.0,170.0,9.0,12
27133,14737KABE,ABE2001122311581658,0.065,D,176.0,8.0,196.0,9.0,12
27188,14737KABE,ABE2001122312531753,0.062,D,210.0,8.0,199.0,9.0,12
27195,14737KABE,ABE2001122313001800,0.066,D,202.0,9.0,199.0,9.0,12
27198,14737KABE,ABE2001122313031803,0.06,D,202.0,7.0,191.0,9.0,12
27294,14737KABE,ABE2001122314391939,0.068,D,208.0,8.0,198.0,8.0,12
27298,14737KABE,ABE2001122314431943,0.066,D,202.0,6.0,189.0,7.0,12
27299,14737KABE,ABE2001122314441944,0.068,D,198.0,7.0,192.0,8.0,12
27300,14737KABE,ABE2001122314451945,0.067,D,201.0,7.0,192.0,8.0,12
27306,14737KABE,ABE2001122314511951,0.067,D,204.0,9.0,194.0,9.0,12
27310,14737KABE,ABE2001122314551955,0.067,D,207.0,7.0,196.0,8.0,12
27313,14737KABE,ABE2001122314581958,0.068,D,199.0,8.0,198.0,9.0,12
27314,14737KABE,ABE2001122314591959,0.067,D,196.0,8.0,197.0,8.0,12
27374,14737KABE,ABE2001122315592059,0.07,D,210.0,4.0,165.0,7.0,12
27375,14737KABE,ABE2001122316002100,0.07,D,202.0,5.0,172.0,8.0,12
27376,14737KABE,ABE2001122316012101,0.069,D,204.0,5.0,168.0,4.0,12
27377,14737KABE,ABE2001122316022102,0.07,D,197.0,3.0,184.0,4.0,12
27378,14737KABE,ABE2001122316032103,0.07,D,184.0,3.0,165.0,3.0,12
27379,14737KABE,ABE2001122316042104,0.07,D,169.0,3.0,156.0,4.0,12
27380,14737KABE,ABE2001122316052105,0.07,D,153.0,3.0,151.0,3.0,12
27381,14737KABE,ABE2001122316062106,0.071,D,154.0,2.0,160.0,2.0,12
27382,14737KABE,ABE2001122316072107,0.07,D,161.0,2.0,175.0,3.0,12
27383,14737KABE,ABE2001122316082108,0.07,D,166.0,2.0,164.0,2.0,12
27384,14737KABE,ABE2001122316092109,0.07200000000000001,D,160.0,2.0,145.0,2.0,12
27385,14737KABE,ABE2001122316102110,0.073,D,149.0,2.0,148.0,2.0,12
27386,14737KABE,ABE2001122316112111,0.07200000000000001,D,144.0,2.0,144.0,3.0,12
27387,14737KABE,ABE2001122316122112,0.07200000000000001,D,144.0,3.0,126.0,3.0,12
27388,14737KABE,ABE2001122316132113,0.071,D,133.0,3.0,127.0,4.0,12
27389,14737KABE,ABE2001122316142114,0.07400000000000001,D,130.0,4.0,156.0,8.0,12
27391,14737KABE,ABE2001122316162116,0.07200000000000001,D,134.0,3.0,141.0,4.0,12
27392,14737KABE,ABE2001122316172117,0.07,D,137.0,3.0,150.0,3.0,12
27393,14737KABE,ABE2001122316182118,0.07,D,143.0,3.0,142.0,3.0,12
27394,14737KABE,ABE2001122316192119,0.071,D,144.0,4.0,153.0,5.0,12
27395,14737KABE,ABE2001122316202120,0.07,D,148.0,5.0,151.0,6.0,12
27396,14737KABE,ABE2001122316212121,0.07,D,154.0,6.0,161.0,6.0,12
27397,14737KABE,ABE2001122316222122,0.071,D,158.0,5.0,157.0,5.0,12
27398,14737KABE,ABE2001122316232123,0.071,D,160.0,4.0,164.0,5.0,12
27399,14737KABE,ABE2001122316242124,0.07200000000000001,D,162.0,4.0,161.0,4.0,12
27400,14737KABE,ABE2001122316252125,0.071,D,169.0,4.0,173.0,4.0,12
27401,14737KABE,ABE2001122316262126,0.071,D,181.0,3.0,193.0,3.0,12
27402,14737KABE,ABE2001122316272127,0.071,D,183.0,3.0,177.0,4.0,12
27403,14737KABE,ABE2001122316282128,0.069,D,179.0,3.0,171.0,3.0,12
