,call_sign,ID,coef,d/n,max_speed,max_dir,avg_speed,avg_dir,month
27593,14737KABE,ABE2001122319380038,0.13699999999999998,N,138.0,4.0,132.0,6.0,12
27594,14737KABE,ABE2001122319390039,0.125,N,126.0,5.0,152.0,8.0,12
27595,14737KABE,ABE2001122319400040,0.11599999999999999,N,141.0,6.0,171.0,7.0,12
27596,14737KABE,ABE2001122319410041,0.125,N,153.0,5.0,124.0,5.0,12
27597,14737KABE,ABE2001122319420042,0.132,N,143.0,4.0,139.0,5.0,12
27598,14737KABE,ABE2001122319430043,0.14,N,139.0,5.0,143.0,8.0,12
27599,14737KABE,ABE2001122319440044,0.145,N,138.0,5.0,157.0,5.0,12
27600,14737KABE,ABE2001122319450045,0.174,N,137.0,4.0,156.0,4.0,12
27601,14737KABE,ABE2001122319460046,0.21100000000000002,N,149.0,3.0,158.0,3.0,12
27602,14737KABE,ABE2001122319470047,0.248,N,149.0,3.0,111.0,3.0,12
27603,14737KABE,ABE2001122319480048,0.278,N,134.0,3.0,154.0,4.0,12
27604,14737KABE,ABE2001122319490049,0.276,N,142.0,3.0,155.0,5.0,12
27605,14737KABE,ABE2001122319500050,0.243,N,148.0,4.0,153.0,5.0,12
27606,14737KABE,ABE2001122319510051,0.223,N,141.0,4.0,151.0,4.0,12
27607,14737KABE,ABE2001122319520052,0.231,N,142.0,3.0,151.0,4.0,12
27608,14737KABE,ABE2001122319530053,0.226,N,154.0,3.0,162.0,4.0,12
27609,14737KABE,ABE2001122319540054,0.247,N,166.0,4.0,186.0,5.0,12
27610,14737KABE,ABE2001122319550055,0.28300000000000003,N,175.0,5.0,165.0,6.0,12
27611,14737KABE,ABE2001122319560056,0.249,N,174.0,6.0,170.0,6.0,12
27612,14737KABE,ABE2001122319570057,0.221,N,171.0,5.0,169.0,6.0,12
27613,14737KABE,ABE2001122319580058,0.244,N,170.0,4.0,179.0,4.0,12
27614,14737KABE,ABE2001122319590059,0.256,N,172.0,4.0,171.0,5.0,12
27615,14737KABE,ABE2001122320000100,0.262,N,168.0,4.0,154.0,4.0,12
27616,14737KABE,ABE2001122320010101,0.27,N,160.0,4.0,177.0,4.0,12
27617,14737KABE,ABE2001122320020102,0.326,N,166.0,4.0,169.0,4.0,12
27618,14737KABE,ABE2001122320030103,0.325,N,169.0,4.0,170.0,4.0,12
27619,14737KABE,ABE2001122320040104,0.3,N,167.0,4.0,183.0,5.0,12
27620,14737KABE,ABE2001122320050105,0.278,N,164.0,5.0,144.0,7.0,12
27621,14737KABE,ABE2001122320060106,0.248,N,157.0,5.0,145.0,6.0,12
27622,14737KABE,ABE2001122320070107,0.23,N,162.0,5.0,183.0,5.0,12
27623,14737KABE,ABE2001122320080108,0.23399999999999999,N,167.0,4.0,186.0,5.0,12
27624,14737KABE,ABE2001122320090109,0.21899999999999997,N,158.0,3.0,149.0,3.0,12
27625,14737KABE,ABE2001122320100110,0.215,N,153.0,2.0,155.0,3.0,12
27626,14737KABE,ABE2001122320110111,0.21600000000000003,N,152.0,2.0,139.0,2.0,12
27627,14737KABE,ABE2001122320120112,0.201,N,144.0,2.0,146.0,3.0,12
27628,14737KABE,ABE2001122320130113,0.209,N,159.0,3.0,186.0,4.0,12
27629,14737KABE,ABE2001122320140114,0.213,N,167.0,3.0,159.0,4.0,12
27630,14737KABE,ABE2001122320150115,0.2,N,167.0,3.0,185.0,3.0,12
27631,14737KABE,ABE2001122320160116,0.217,N,163.0,2.0,150.0,3.0,12
27632,14737KABE,ABE2001122320170117,0.222,N,161.0,3.0,173.0,3.0,12
27633,14737KABE,ABE2001122320180118,0.215,N,165.0,3.0,158.0,4.0,12
27634,14737KABE,ABE2001122320190119,0.20199999999999999,N,148.0,4.0,135.0,4.0,12
27635,14737KABE,ABE2001122320200120,0.17300000000000001,N,135.0,3.0,141.0,4.0,12
27636,14737KABE,ABE2001122320210121,0.177,N,135.0,3.0,133.0,4.0,12
27637,14737KABE,ABE2001122320220122,0.177,N,140.0,3.0,136.0,3.0,12
27638,14737KABE,ABE2001122320230123,0.162,N,145.0,3.0,159.0,4.0,12
27639,14737KABE,ABE2001122320240124,0.156,N,144.0,3.0,141.0,4.0,12
27640,14737KABE,ABE2001122320250125,0.17,N,143.0,4.0,145.0,4.0,12
27641,14737KABE,ABE2001122320260126,0.18100000000000002,N,142.0,3.0,139.0,3.0,12
27642,14737KABE,ABE2001122320270127,0.18600000000000003,N,137.0,3.0,159.0,3.0,12
27643,14737KABE,ABE2001122320280128,0.18100000000000002,N,134.0,3.0,139.0,4.0,12
27644,14737KABE,ABE2001122320290129,0.191,N,137.0,4.0,132.0,4.0,12
27793,14737KABE,ABE2001122400510551,0.755,N,161.0,0.0,101.0,0.0,12
27794,14737KABE,ABE2001122400520552,0.727,N,103.0,0.0,101.0,0.0,12
27836,14737KABE,ABE2001122401340634,1.389,N,110.0,1.0,134.0,1.0,12
27837,14737KABE,ABE2001122401350635,1.4709999999999999,N,127.0,1.0,141.0,1.0,12
27838,14737KABE,ABE2001122401360636,1.534,N,141.0,1.0,142.0,1.0,12
27839,14737KABE,ABE2001122401370637,1.551,N,142.0,0.0,142.0,0.0,12
27840,14737KABE,ABE2001122401380638,1.5230000000000001,N,142.0,0.0,142.0,0.0,12
27841,14737KABE,ABE2001122401390639,1.501,N,142.0,0.0,141.0,0.0,12
27842,14737KABE,ABE2001122401400640,1.544,N,141.0,0.0,141.0,0.0,12
27843,14737KABE,ABE2001122401410641,1.45,N,141.0,1.0,141.0,2.0,12
27844,14737KABE,ABE2001122401420642,1.339,N,141.0,2.0,141.0,2.0,12
27845,14737KABE,ABE2001122401430643,1.24,N,141.0,2.0,142.0,2.0,12
27846,14737KABE,ABE2001122401440644,1.275,N,141.0,2.0,141.0,2.0,12
27847,14737KABE,ABE2001122401450645,1.101,N,141.0,2.0,141.0,2.0,12
27848,14737KABE,ABE2001122401460646,1.06,N,140.0,2.0,132.0,2.0,12
27849,14737KABE,ABE2001122401470647,1.035,N,137.0,2.0,137.0,2.0,12
27850,14737KABE,ABE2001122401480648,1.112,N,133.0,2.0,124.0,2.0,12
27851,14737KABE,ABE2001122401490649,1.064,N,125.0,2.0,121.0,2.0,12
27852,14737KABE,ABE2001122401500650,1.158,N,128.0,2.0,144.0,2.0,12
27853,14737KABE,ABE2001122401510651,1.139,N,144.0,2.0,158.0,2.0,12
27854,14737KABE,ABE2001122401520652,1.028,N,153.0,2.0,157.0,2.0,12
27855,14737KABE,ABE2001122401530653,0.884,N,159.0,2.0,158.0,1.0,12
27856,14737KABE,ABE2001122401540654,0.946,N,163.0,1.0,165.0,1.0,12
27857,14737KABE,ABE2001122401550655,0.9640000000000001,N,162.0,1.0,152.0,1.0,12
27858,14737KABE,ABE2001122401560656,0.956,N,159.0,1.0,158.0,1.0,12
27859,14737KABE,ABE2001122401570657,0.987,N,158.0,1.0,165.0,1.0,12
27860,14737KABE,ABE2001122401580658,1.048,N,162.0,1.0,166.0,1.0,12
27861,14737KABE,ABE2001122401590659,0.946,N,166.0,0.0,165.0,0.0,12
27862,14737KABE,ABE2001122402000700,0.995,N,165.0,0.0,165.0,0.0,12
27863,14737KABE,ABE2001122402010701,0.97,N,165.0,0.0,165.0,0.0,12
27864,14737KABE,ABE2001122402020702,0.9890000000000001,N,165.0,0.0,165.0,0.0,12
27868,14737KABE,ABE2001122402060706,1.196,N,108.0,2.0,116.0,3.0,12
27869,14737KABE,ABE2001122402070707,1.171,N,113.0,3.0,106.0,3.0,12
27874,14737KABE,ABE2001122402120712,0.919,N,110.0,2.0,119.0,3.0,12
27875,14737KABE,ABE2001122402130713,0.873,N,120.0,3.0,124.0,3.0,12
27876,14737KABE,ABE2001122402140714,0.8270000000000001,N,120.0,3.0,110.0,3.0,12
27877,14737KABE,ABE2001122402150715,0.8390000000000001,N,115.0,3.0,116.0,3.0,12
27878,14737KABE,ABE2001122402160716,0.9109999999999999,N,117.0,2.0,140.0,2.0,12
27879,14737KABE,ABE2001122402170717,0.9620000000000001,N,132.0,2.0,135.0,2.0,12
27880,14737KABE,ABE2001122402180718,0.975,N,140.0,2.0,133.0,3.0,12
27881,14737KABE,ABE2001122402190719,0.9940000000000001,N,136.0,3.0,129.0,3.0,12
27882,14737KABE,ABE2001122402200720,0.986,N,135.0,2.0,136.0,3.0,12
27883,14737KABE,ABE2001122402210721,1.032,N,137.0,2.0,138.0,3.0,12
27884,14737KABE,ABE2001122402220722,1.031,N,140.0,3.0,147.0,3.0,12
27885,14737KABE,ABE2001122402230723,1.026,N,142.0,3.0,142.0,3.0,12
27886,14737KABE,ABE2001122402240724,1.05,N,146.0,3.0,146.0,2.0,12
27887,14737KABE,ABE2001122402250725,1.006,N,146.0,2.0,143.0,3.0,12
27888,14737KABE,ABE2001122402260726,0.982,N,145.0,2.0,158.0,2.0,12
27889,14737KABE,ABE2001122402270727,0.9390000000000001,N,163.0,2.0,178.0,2.0,12
27903,14737KABE,ABE2001122402410741,1.178,N,221.0,2.0,199.0,2.0,12
27904,14737KABE,ABE2001122402420742,1.217,N,201.0,2.0,190.0,3.0,12
27905,14737KABE,ABE2001122402430743,1.204,N,184.0,2.0,185.0,3.0,12
27906,14737KABE,ABE2001122402440744,1.3459999999999999,N,163.0,2.0,150.0,2.0,12
27916,14737KABE,ABE2001122402540754,2.374,N,211.0,3.0,195.0,3.0,12
27917,14737KABE,ABE2001122402550755,2.505,N,198.0,3.0,191.0,3.0,12
27918,14737KABE,ABE2001122402560756,2.421,N,195.0,3.0,199.0,3.0,12
27919,14737KABE,ABE2001122402570757,2.385,N,199.0,3.0,199.0,3.0,12
27940,14737KABE,ABE2001122403180818,2.104,N,205.0,0.0,112.0,1.0,12
27941,14737KABE,ABE2001122403190819,2.228,N,123.0,1.0,110.0,2.0,12
27942,14737KABE,ABE2001122403200820,2.106,N,113.0,2.0,123.0,2.0,12
27943,14737KABE,ABE2001122403210821,3.009,N,129.0,1.0,165.0,1.0,12
27944,14737KABE,ABE2001122403220822,2.863,N,152.0,1.0,165.0,1.0,12
27945,14737KABE,ABE2001122403230823,3.017,N,165.0,1.0,165.0,1.0,12
27946,14737KABE,ABE2001122403240824,2.986,N,160.0,1.0,143.0,1.0,12
27947,14737KABE,ABE2001122403250825,2.866,N,149.0,1.0,144.0,1.0,12
27948,14737KABE,ABE2001122403260826,2.7739999999999996,N,151.0,1.0,159.0,1.0,12
27949,14737KABE,ABE2001122403270827,2.511,N,162.0,1.0,177.0,1.0,12
27950,14737KABE,ABE2001122403280828,2.437,N,172.0,1.0,178.0,1.0,12
27951,14737KABE,ABE2001122403290829,2.262,N,178.0,1.0,178.0,1.0,12
27952,14737KABE,ABE2001122403300830,2.142,N,178.0,1.0,178.0,1.0,12
27953,14737KABE,ABE2001122403310831,1.8530000000000002,N,178.0,1.0,178.0,1.0,12
27954,14737KABE,ABE2001122403320832,1.412,N,178.0,0.0,178.0,0.0,12
27955,14737KABE,ABE2001122403330833,1.584,N,179.0,0.0,189.0,1.0,12
30021,14737KABE,ABE2001122513591859,0.05,D,205.0,7.0,192.0,9.0,12
30573,14737KABE,ABE2001122600440544,0.063,N,221.0,0.0,182.0,1.0,12
30574,14737KABE,ABE2001122600450545,0.065,N,179.0,1.0,165.0,1.0,12
30575,14737KABE,ABE2001122600460546,0.066,N,173.0,1.0,177.0,1.0,12
31031,14737KABE,ABE2001122608221322,0.092,D,226.0,2.0,179.0,2.0,12
31032,14737KABE,ABE2001122608231323,0.102,D,194.0,2.0,189.0,2.0,12
31033,14737KABE,ABE2001122608241324,0.106,D,187.0,2.0,189.0,3.0,12
31034,14737KABE,ABE2001122608251325,0.10400000000000001,D,191.0,2.0,199.0,2.0,12
33845,14737KABE,ABE2001122810161516,0.08199999999999999,D,210.0,2.0,198.0,5.0,12
33850,14737KABE,ABE2001122810211521,0.08,D,221.0,3.0,198.0,6.0,12
34739,14737KABE,ABE2001122903110811,0.071,N,211.0,1.0,195.0,1.0,12
34740,14737KABE,ABE2001122903120812,0.071,N,201.0,1.0,196.0,1.0,12
34742,14737KABE,ABE2001122903140814,0.076,N,199.0,2.0,198.0,2.0,12
34743,14737KABE,ABE2001122903150815,0.076,N,197.0,2.0,196.0,2.0,12
34794,14737KABE,ABE2001122904060906,0.084,N,211.0,3.0,199.0,3.0,12
34795,14737KABE,ABE2001122904070907,0.085,N,203.0,3.0,197.0,3.0,12
